Test,N(Buy),N(Sell),Buy,Sell,Buy-Sell
"^IXIC.csv,50,0",79,44,0.00012759065707963023 (0.9630493879514354),0.005383114105686033 (0.02630190983065798),-0.005255523448606403 (0.026451474168952112)
"^IXIC.csv,50,0.01",78,44,0.00022159583164619594 (0.9926853548777066),0.005383114105686033 (0.02630190983065798),-0.005161518274039837 (0.030024761684935217)
"^IXIC.csv,150,0",50,24,7.952161657296385e-05 (0.9522801651863055),0.011196818171307571 (0.000413209656863487),-0.011117296554734608 (0.00048294014165069525)
"^IXIC.csv,150,0.1",41,21,0.0011996632787734684 (0.6695498414801917),0.009558683046562964 (0.004807457619369539),-0.008359019767789496 (0.015901185107042415)
"^IXIC.csv,200,0",23,20,0.0010217249829614459 (0.7928391862804727),0.009928072744898821 (0.004181778992335552),-0.008906347761937375 (0.052085633727772085)
"^IXIC.csv,200,0.1",19,17,0.0023255520663200487 (0.5344635262833667),0.007680597809671584 (0.041667721687134694),-0.005355045743351536 (0.28618366659043476)
Average,,,0.0008292747388922921,0.008188399997302169,-0.007359125258409875
