Date,Adj Close,Signal
2020-11-27,12205.849609,0
2020-11-30,12198.740234,0
2020-12-01,12355.110352,0
2020-12-02,12349.370117,0
2020-12-03,12377.179688,0
2020-12-04,12464.230469,0
2020-12-07,12519.950195,0
2020-12-08,12582.769531,0
2020-12-09,12338.950195,0
2020-12-10,12405.809570,0
2020-12-11,12377.870117,0
2020-12-14,12440.040039,0
2020-12-15,12595.059570,0
2020-12-16,12658.190430,0
2020-12-17,12764.750000,0
2020-12-18,12755.639648,0
2020-12-21,12742.519531,0
2020-12-22,12807.919922,0
2020-12-23,12771.110352,0
2020-12-24,12804.730469,0
2020-12-28,12899.419922,0
2020-12-29,12850.219727,0
2020-12-30,12870.000000,0
2020-12-31,12888.280273,0
2021-01-04,12698.450195,0
2021-01-05,12818.959961,0
2021-01-06,12740.790039,0
2021-01-07,13067.480469,0
2021-01-08,13201.980469,0
2021-01-11,13036.429688,0
2021-01-12,13072.429688,0
2021-01-13,13128.950195,0
2021-01-14,13112.639648,0
2021-01-15,12998.500000,0
2021-01-19,13197.179688,0
2021-01-20,13457.250000,0
2021-01-21,13530.910156,0
2021-01-22,13543.059570,0
2021-01-25,13635.990234,0
2021-01-26,13626.059570,0
2021-01-27,13270.599609,0
2021-01-28,13337.160156,0
2021-01-29,13070.690430,0
2021-02-01,13403.389648,0
2021-02-02,13612.780273,0
2021-02-03,13610.540039,0
2021-02-04,13777.740234,0
2021-02-05,13856.299805,0
2021-02-08,13987.639648,0
2021-02-09,14007.700195,0
2021-02-10,13972.530273,0
2021-02-11,14025.769531,0
2021-02-12,14095.469727,0
2021-02-16,14047.500000,0
2021-02-17,13965.490234,0
2021-02-18,13865.360352,0
2021-02-19,13874.459961,0
2021-02-22,13533.049805,0
2021-02-23,13465.200195,0
2021-02-24,13597.969727,0
2021-02-25,13119.429688,0
2021-02-26,13192.349609,0
2021-03-01,13588.830078,0
2021-03-02,13358.790039,0
2021-03-03,12997.750000,0
2021-03-04,12723.469727,0
2021-03-05,12920.150391,0
2021-03-08,12609.160156,0
2021-03-09,13073.820313,0
2021-03-10,13068.830078,0
2021-03-11,13398.669922,0
2021-03-12,13319.860352,0
2021-03-15,13459.709961,0
2021-03-16,13471.570313,0
2021-03-17,13525.200195,0
2021-03-18,13116.169922,0
2021-03-19,13215.240234,0
2021-03-22,13377.540039,0
2021-03-23,13227.700195,0
2021-03-24,12961.889648,0
2021-03-25,12977.679688,0
2021-03-26,13138.730469,0
2021-03-29,13059.650391,0
2021-03-30,13045.389648,0
2021-03-31,13246.870117,0
2021-04-01,13480.110352,0
2021-04-05,13705.589844,0
2021-04-06,13698.379883,0
2021-04-07,13688.839844,0
2021-04-08,13829.309570,0
2021-04-09,13900.190430,0
2021-04-12,13850.000000,0
2021-04-13,13996.099609,0
2021-04-14,13857.839844,0
2021-04-15,14038.759766,0
2021-04-16,14052.339844,0
2021-04-19,13914.769531,0
2021-04-20,13786.269531,0
2021-04-21,13950.219727,0
2021-04-22,13818.410156,0
2021-04-23,14016.809570,0
2021-04-26,14138.780273,0
2021-04-27,14090.219727,0
2021-04-28,14051.030273,0
2021-04-29,14082.549805,0
2021-04-30,13962.679688,0
2021-05-03,13895.120117,0
2021-05-04,13633.500000,0
2021-05-05,13582.419922,0
2021-05-06,13632.839844,0
2021-05-07,13752.240234,0
2021-05-10,13401.860352,0
2021-05-11,13389.429688,0
2021-05-12,13031.679688,0
2021-05-13,13124.990234,0
2021-05-14,13429.980469,0
2021-05-17,13379.049805,0
2021-05-18,13303.639648,0
2021-05-19,13299.740234,0
2021-05-20,13535.740234,0
2021-05-21,13470.990234,0
2021-05-24,13661.169922,0
2021-05-25,13657.169922,0
2021-05-26,13738.000000,0
2021-05-27,13736.280273,0
2021-05-28,13748.740234,0
2021-06-01,13736.480469,0
2021-06-02,13756.330078,0
2021-06-03,13614.509766,0
2021-06-04,13814.490234,0
2021-06-07,13881.719727,0
2021-06-08,13924.910156,0
2021-06-09,13911.750000,0
